Texture ../data/textures/char1.png(1ms).
mode: client
name: Linko
ip: 127.0.0.1
port: 25
protocol: udp

connecting...
Texture ../data/textures/wall.jpg(3ms).
Texture ../data/textures/fire.jpg(5ms).
Texture ../data/textures/rock.png(28ms).
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 20, 3: 0
1 sending socket type 1, 0: -21.9722, 1: -17.8307, 2: 45.1154, 3: 135.3
1 sending socket type 1, 0: -21.4268, 1: -18.1919, 2: 45.5804, 3: 133.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -20.6995, 1: -18.8602, 2: 45.8526, 3: 132.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -20.1541, 1: -19.4056, 2: 45.7849, 3: 131.9
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
2 sending socket type 3, 0: -41.2196, 1: -30.4448, 2: 12.001, 3: 0.544326
2 sending socket type 1, 0: -19.5177, 1: -20.042, 2: 45.8676, 3: 131.6
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -18.8951, 1: -20.5988, 2: 48.3176, 3: 131.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -18.547, 1: -20.874, 2: 49.4977, 3: 130.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -18.2891, 1: -20.915, 2: 50.2783, 3: 129.6
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -17.9492, 1: -20.8826, 2: 51.181, 3: 128.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -17.6123, 1: -20.9319, 2: 51.9236, 3: 125.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -17.3615, 1: -20.9791, 2: 52.3756, 3: 123.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -17.0291, 1: -20.9823, 2: 52.8383, 3: 122.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.7811, 1: -20.9929, 2: 53.0803, 3: 120.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.4517, 1: -20.9975, 2: 53.263, 3: 117.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.1246, 1: -20.9998, 2: 53.2856, 3: 108.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -15.882, 1: -20.9998, 2: 53.1976, 3: 98.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -15.5623, 1: -20.9998, 2: 52.9403, 3: 89.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -15.3243, 1: -20.9998, 2: 52.6423, 3: 85.9
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -15.0092, 1: -20.9998, 2: 52.105, 3: 84.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -14.697, 1: -20.9998, 2: 51.4076, 3: 83.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 2, 0: -14.4653, 1: -20.9998, 2: 50.7796, 3: 0.720121
2 sending socket type 1, 0: -14.4653, 1: -20.9998, 2: 50.7796, 3: 83.1
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
update hook
distance: 1.52002
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -13.7536, 1: -20.9998, 2: 49.0147, 3: 86.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
2 sending socket type 3, 0: -14.4653, 1: -20.9998, 2: 50.7796, 3: 0.720121
2 sending socket type 1, 0: -13.3482, 1: -20.9995, 2: 49.9107, 3: 87.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.8039, 1: -20.9995, 2: 52.222, 3: 88.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.5468, 1: -20.9995, 2: 53.3247, 3: 89.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.3893, 1: -21.0057, 2: 54.0467, 3: 90.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.24, 1: -21.1082, 2: 54.8694, 3: 92.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.1661, 1: -21.3015, 2: 55.532, 3: 91.6
1 sending socket type 1, 0: -12.1577, 1: -21.4847, 2: 55.924, 3: 89.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.1995, 1: -21.7612, 2: 56.3067, 3: 88.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.2626, 1: -21.9848, 2: 56.4887, 3: 87.9
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 1 key
1 sending socket type 1, 0: -12.3776, 1: -22.2975, 2: 56.5914, 3: 87.9
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.445, 1: -22.6532, 2: 56.534, 3: 87.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.4474, 1: -22.9259, 2: 56.386, 3: 87.1
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 1 key
1 sending socket type 1, 0: -12.4264, 1: -23.289, 2: 56.0487, 3: 86.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.4612, 1: -23.6513, 2: 55.5514, 3: 85.9
1 sending socket type 1, 0: -12.5147, 1: -23.9237, 2: 55.0734, 3: 85.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.6102, 1: -24.2873, 2: 54.296, 3: 85.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.6942, 1: -24.56, 2: 54.1355, 3: 85.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 3 key
1 sending socket type 1, 0: -12.825, 1: -24.9207, 2: 54.2707, 3: 85.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -12.9896, 1: -25.1705, 2: 54.2671, 3: 85.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -13.2883, 1: -25.4838, 2: 54.1223, 3: 85.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -13.6437, 1: -25.7874, 2: 54.0738, 3: 85.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -13.9165, 1: -26.0133, 2: 54.0179, 3: 85.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -14.2801, 1: -26.3163, 2: 54.0111, 3: 85.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -14.6437, 1: -26.6268, 2: 54.001, 3: 84.5
1 sending socket type 1, 0: -14.9165, 1: -26.8677, 2: 54.001, 3: 84
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 3 key
1 sending socket type 1, 0: -15.2801, 1: -27.2015, 2: 54.001, 3: 83.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -15.5082, 1: -27.4637, 2: 54.001, 3: 83.1
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -15.7283, 1: -27.8257, 2: 54.001, 3: 82.9
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -15.8458, 1: -28.0985, 2: 54.001, 3: 82.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -15.9568, 1: -28.4621, 2: 54.001, 3: 82.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 2 key
1 sending socket type 1, 0: -16.0312, 1: -28.7791, 2: 54.001, 3: 82.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.0711, 1: -28.9489, 2: 54.001, 3: 82.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.1093, 1: -29.1116, 2: 54.001, 3: 82.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.1298, 1: -29.1988, 2: 54.001, 3: 82.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.1494, 1: -29.2822, 2: 54.001, 3: 82.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.1627, 1: -29.3393, 2: 54.001, 3: 82.3
1 sending socket type 1, 0: -16.1699, 1: -29.3698, 2: 54.001, 3: 82.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.1768, 1: -29.3991, 2: 54.001, 3: 82.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.1815, 1: -29.419, 2: 54.001, 3: 82.3
1 sending socket type 1, 0: -16.184, 1: -29.4298, 2: 54.001, 3: 82.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.1864, 1: -29.44, 2: 54.001, 3: 82.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.1877, 1: -29.4455, 2: 54.001, 3: 82.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -16.1889, 1: -29.4508, 2: 54.001, 3: 82.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
End client receive thread
End client send thread
Exited cleanly.
